"chromosome","start","end","tissue","tissue_type","query"
"chr8",129019033,129026843,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129019033:129026843"
"chr8",129035614,129040790,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129035614:129040790"
"chr8",129042793,129053149,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129042793:129053149"
"chr8",129056749,129065208,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129056749:129065208"
"chr8",129073604,129083384,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129073604:129083384"
"chr8",129087909,129103805,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129087909:129103805"
"chr8",129106720,129120041,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129106720:129120041"
"chr8",129147050,129152415,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129147050:129152415"
"chr8",129159662,129166488,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129159662:129166488"
"chr8",129174996,129186805,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129174996:129186805"
"chr8",129187512,129192736,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129187512:129192736"
"chr8",129193548,129198561,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129193548:129198561"
"chr8",129199235,129207495,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129199235:129207495"
"chr8",129208456,129220421,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129208456:129220421"
"chr8",129228341,129237586,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129228341:129237586"
"chr8",129254200,129264958,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129254200:129264958"
"chr8",129287936,129293432,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129287936:129293432"
"chr8",129307874,129318133,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129307874:129318133"
"chr8",129323498,129340192,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129323498:129340192"
"chr8",129341420,129356741,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129341420:129356741"
"chr8",129363329,129373074,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129363329:129373074"
"chr8",129375795,129382685,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129375795:129382685"
"chr8",129383549,129396392,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129383549:129396392"
"chr8",129397454,129407016,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129397454:129407016"
"chr8",129407971,129413077,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129407971:129413077"
"chr8",129415085,129422462,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129415085:129422462"
"chr8",129433575,129448818,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129433575:129448818"
"chr8",129471265,129520070,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129471265:129520070"
"chr8",129542740,129549005,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129542740:129549005"
"chr8",129563028,129568212,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129563028:129568212"
"chr8",129572699,129581226,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129572699:129581226"
"chr8",129630752,129639821,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129630752:129639821"
"chr8",129679649,129686103,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129679649:129686103"
"chr8",129713219,129718676,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129713219:129718676"
"chr8",129794337,129800355,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129794337:129800355"
"chr8",129801050,129809048,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129801050:129809048"
"chr8",129824889,129830495,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129824889:129830495"
"chr8",129849784,129863938,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","8:129849784:129863938"
"chr17",37817566,37865061,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","17:37817566:37865061"
"chr17",37893507,37899964,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","17:37893507:37899964"
"chr17",37910055,37915972,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","17:37910055:37915972"
"chr17",37966161,38039653,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","17:37966161:38039653"
"chr17",38307559,38415759,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","17:38307559:38415759"
"chr17",38415833,38467929,"NCIH2170_LUNG_AA_amplicon1_amplicon1","LUNG","17:38415833:38467929"
"chr1",114743715,115326567,"NCIH2170_LUNG_AA_amplicon2_amplicon2","LUNG","1:114743715:115326567"
"chr14",35581234,35605640,"NCIH2170_LUNG_AA_amplicon3_amplicon3","LUNG","14:35581234:35605640"
"chr14",35615051,37631608,"NCIH2170_LUNG_AA_amplicon3_amplicon3","LUNG","14:35615051:37631608"
"chr14",37722310,37722935,"NCIH2170_LUNG_AA_amplicon3_amplicon3","LUNG","14:37722310:37722935"
"chr14",37723751,38432831,"NCIH2170_LUNG_AA_amplicon3_amplicon3","LUNG","14:37723751:38432831"
"chr12",8544393,8550596,"NCIH2171_LUNG_AA_amplicon7_amplicon7","LUNG","12:8544393:8550596"
"chr3",195341983,195448051,"NCIH2196_LUNG_AA_amplicon1_amplicon1","LUNG","3:195341983:195448051"
"chr3",195506752,195515326,"NCIH2196_LUNG_AA_amplicon1_amplicon1","LUNG","3:195506752:195515326"
"chr3",195667641,195727767,"NCIH2196_LUNG_AA_amplicon1_amplicon1","LUNG","3:195667641:195727767"
"chr12",18783986,29161675,"NCIH2196_LUNG_AA_amplicon5_amplicon5","LUNG","12:18783986:29161675"
"chr12",29164837,30136825,"NCIH2196_LUNG_AA_amplicon5_amplicon5","LUNG","12:29164837:30136825"
"chr3",176698728,176784500,"NCIH2227_LUNG_AA_amplicon11_amplicon11","LUNG","3:176698728:176784500"
"chr2",97815132,97820388,"NCIH23_LUNG_AA_amplicon2_amplicon2","LUNG","2:97815132:97820388"
"chr14",39831983,39881618,"NCIH23_LUNG_AA_amplicon24_amplicon24","LUNG","14:39831983:39881618"
"chr7",54792492,55286758,"NCIH3255_LUNG_AA_amplicon15_amplicon15","LUNG","7:54792492:55286758"
"chr7",55289061,56611353,"NCIH3255_LUNG_AA_amplicon15_amplicon15","LUNG","7:55289061:56611353"
"chr9",31666535,31751741,"NCIH3255_LUNG_AA_amplicon2_amplicon2","LUNG","9:31666535:31751741"
"chr8",33655125,33868241,"NCIH3255_LUNG_AA_amplicon21_amplicon21","LUNG","8:33655125:33868241"
"chr19",43253489,43367117,"NCIH3255_LUNG_AA_amplicon31_amplicon31","LUNG","19:43253489:43367117"
"chrX",99195904,99984118,"NCIH3255_LUNG_AA_amplicon33_amplicon33","LUNG","X:99195904:99984118"
"chr2",87623761,87642215,"NCIH358_LUNG_AA_amplicon3_amplicon3","LUNG","2:87623761:87642215"
"chr2",87644378,87656135,"NCIH358_LUNG_AA_amplicon3_amplicon3","LUNG","2:87644378:87656135"
"chr8",127151911,127192205,"NCIH446_LUNG_AA_amplicon1_amplicon1","LUNG","8:127151911:127192205"
"chr8",127194570,128118925,"NCIH446_LUNG_AA_amplicon1_amplicon1","LUNG","8:127194570:128118925"
"chr8",128488254,128853402,"NCIH446_LUNG_AA_amplicon1_amplicon1","LUNG","8:128488254:128853402"
"chr5",12490508,12621737,"NCIH446_LUNG_AA_amplicon9_amplicon9","LUNG","5:12490508:12621737"
"chr8",128690200,129465167,"NCIH460_LUNG_AA_amplicon4_amplicon4","LUNG","8:128690200:129465167"
"chr8",129471266,130640652,"NCIH460_LUNG_AA_amplicon4_amplicon4","LUNG","8:129471266:130640652"
"chr14",28459501,29571770,"NCIH508_LARGE_INTESTINE_AA_amplicon3_amplicon3","LARGE","14:28459501:29571770"
"chr14",29574619,29857774,"NCIH508_LARGE_INTESTINE_AA_amplicon3_amplicon3","LARGE","14:29574619:29857774"
"chr14",30168676,33114463,"NCIH508_LARGE_INTESTINE_AA_amplicon3_amplicon3","LARGE","14:30168676:33114463"
"chr17",21303089,21515211,"NCIH508_LARGE_INTESTINE_AA_amplicon6_amplicon6","LARGE","17:21303089:21515211"
"chr7",57638730,57712214,"NCIH508_LARGE_INTESTINE_AA_amplicon6_amplicon6","LARGE","7:57638730:57712214"
"chr18",28166859,28479713,"NCIH510_LUNG_AA_amplicon15_amplicon15","LUNG","18:28166859:28479713"
"chr18",39668725,39717228,"NCIH510_LUNG_AA_amplicon15_amplicon15","LUNG","18:39668725:39717228"
"chr18",72158209,72166556,"NCIH510_LUNG_AA_amplicon15_amplicon15","LUNG","18:72158209:72166556"
"chr1",44059888,44911399,"NCIH510_LUNG_AA_amplicon2_amplicon2","LUNG","1:44059888:44911399"
"chr17",46186793,46418562,"NCIH510_LUNG_AA_amplicon3_amplicon3","LUNG","17:46186793:46418562"
"chr18",871075,872944,"NCIH510_LUNG_AA_amplicon3_amplicon3","LUNG","18:871075:872944"
"chr8",80532295,92902376,"NCIH510_LUNG_AA_amplicon6_amplicon6","LUNG","8:80532295:92902376"
"chr8",96072340,96129008,"NCIH510_LUNG_AA_amplicon6_amplicon6","LUNG","8:96072340:96129008"
"chr11",133925521,133925957,"NCIH510_LUNG_AA_amplicon6_amplicon6","LUNG","11:133925521:133925957"
"chr16",19038342,19517522,"NCIH510_LUNG_AA_amplicon9_amplicon9","LUNG","16:19038342:19517522"
"chr1",37105189,37110713,"NCIH520_LUNG_AA_amplicon1_amplicon1","LUNG","1:37105189:37110713"
"chr1",37110961,37185251,"NCIH520_LUNG_AA_amplicon1_amplicon1","LUNG","1:37110961:37185251"
"chr1",37187657,37424237,"NCIH520_LUNG_AA_amplicon1_amplicon1","LUNG","1:37187657:37424237"
"chr1",37425791,38243795,"NCIH520_LUNG_AA_amplicon1_amplicon1","LUNG","1:37425791:38243795"
"chr1",38248869,38249556,"NCIH520_LUNG_AA_amplicon1_amplicon1","LUNG","1:38248869:38249556"
"chr4",424102,1169366,"NCIH520_LUNG_AA_amplicon4_amplicon4","LUNG","4:424102:1169366"
"chr17",57916004,57973643,"NCIH522_LUNG_AA_amplicon13_amplicon13","LUNG","17:57916004:57973643"
"chr3",108597026,109016389,"NCIH524_LUNG_AA_amplicon1_amplicon1","LUNG","3:108597026:109016389"
"chr8",121540491,121556305,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:121540491:121556305"
"chr8",126658131,126788145,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:126658131:126788145"
"chr8",126789166,126844638,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:126789166:126844638"
"chr8",126847952,127087562,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:126847952:127087562"
"chr8",127094675,127304592,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:127094675:127304592"
"chr8",127306457,127526641,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:127306457:127526641"
"chr8",128241995,128565089,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:128241995:128565089"
"chr8",128590923,128926382,"NCIH524_LUNG_AA_amplicon3_amplicon3","LUNG","8:128590923:128926382"
"chr22",17041848,17048183,"NCIH526_LUNG_AA_amplicon10_amplicon10","LUNG","22:17041848:17048183"
"chr6",135459807,135761885,"NCIH526_LUNG_AA_amplicon6_amplicon6","LUNG","6:135459807:135761885"
"chr6",49364328,49532316,"NCIH596_LUNG_AA_amplicon9_amplicon9","LUNG","6:49364328:49532316"
"chr12",11169706,11225260,"NCIH650_LUNG_AA_amplicon10_amplicon10","LUNG","12:11169706:11225260"
"chr12",11242124,11284398,"NCIH650_LUNG_AA_amplicon10_amplicon10","LUNG","12:11242124:11284398"
"chr14",34803401,37237761,"NCIH661_LUNG_AA_amplicon13_amplicon13","LUNG","14:34803401:37237761"
"chr2",16051530,16082165,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:16051530:16082165"
"chr2",16172619,16188871,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:16172619:16188871"
"chr2",53159548,53167644,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53159548:53167644"
"chr2",53173634,53178737,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53173634:53178737"
"chr2",53179518,53184990,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53179518:53184990"
"chr2",53204897,53261620,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53204897:53261620"
"chr2",53279272,53359205,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53279272:53359205"
"chr2",53419073,53424402,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53419073:53424402"
"chr2",53489828,53519652,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53489828:53519652"
"chr2",53547547,53664728,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53547547:53664728"
"chr2",53681379,53686500,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53681379:53686500"
"chr2",53846914,53853979,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53846914:53853979"
"chr2",53930662,53940878,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53930662:53940878"
"chr2",53959184,53959795,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:53959184:53959795"
"chr2",77212182,77220572,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:77212182:77220572"
"chr2",86731431,86734216,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:86731431:86734216"
"chr2",135277448,135284670,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:135277448:135284670"
"chr2",135285346,135291881,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:135285346:135291881"
"chr2",135292700,135301893,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:135292700:135301893"
"chr2",135312251,135318629,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:135312251:135318629"
"chr2",135327823,135335386,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:135327823:135335386"
"chr2",135343755,135351252,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:135343755:135351252"
"chr2",135355807,135399817,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:135355807:135399817"
"chr2",137579487,137588439,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:137579487:137588439"
"chr2",140508116,140554027,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:140508116:140554027"
"chr2",140565881,140601105,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:140565881:140601105"
"chr2",140691208,140701248,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:140691208:140701248"
"chr2",140790609,140797609,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:140790609:140797609"
"chr2",140825455,140831230,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:140825455:140831230"
"chr2",140862803,140868058,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:140862803:140868058"
"chr2",140876488,140882329,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:140876488:140882329"
"chr2",145887852,145898644,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:145887852:145898644"
"chr2",145912772,145917811,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:145912772:145917811"
"chr2",145921414,145927727,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","2:145921414:145927727"
"chrX",77846475,77846534,"NCIH69_LUNG_AA_amplicon3_amplicon3","LUNG","X:77846475:77846534"
"chr12",29718660,29844354,"NCIH69_LUNG_AA_amplicon6_amplicon6","LUNG","12:29718660:29844354"
"chr12",29846435,30234512,"NCIH69_LUNG_AA_amplicon6_amplicon6","LUNG","12:29846435:30234512"
"chr12",30729038,32690348,"NCIH69_LUNG_AA_amplicon6_amplicon6","LUNG","12:30729038:32690348"
"chr3",195342050,195448235,"NCIH747_LARGE_INTESTINE_AA_amplicon1_amplicon1","LARGE","3:195342050:195448235"
"chr3",195506778,195513766,"NCIH747_LARGE_INTESTINE_AA_amplicon1_amplicon1","LARGE","3:195506778:195513766"
"chr3",195515005,195515308,"NCIH747_LARGE_INTESTINE_AA_amplicon1_amplicon1","LARGE","3:195515005:195515308"
"chr3",195673754,195733177,"NCIH747_LARGE_INTESTINE_AA_amplicon1_amplicon1","LARGE","3:195673754:195733177"
"chr2",87623905,87655899,"NCIH82_LUNG_AA_amplicon1_amplicon1","LUNG","2:87623905:87655899"
"chr14",22193977,22504734,"NCIH82_LUNG_AA_amplicon4_amplicon4","LUNG","14:22193977:22504734"
"chr14",23640232,23883549,"NCIH82_LUNG_AA_amplicon4_amplicon4","LUNG","14:23640232:23883549"
"chr14",46732331,46788125,"NCIH82_LUNG_AA_amplicon4_amplicon4","LUNG","14:46732331:46788125"
"chr14",56562513,58706648,"NCIH82_LUNG_AA_amplicon4_amplicon4","LUNG","14:56562513:58706648"
"chr14",60019178,60341397,"NCIH82_LUNG_AA_amplicon4_amplicon4","LUNG","14:60019178:60341397"
"chr14",60343240,60520922,"NCIH82_LUNG_AA_amplicon4_amplicon4","LUNG","14:60343240:60520922"
"chr14",62759790,63366866,"NCIH82_LUNG_AA_amplicon4_amplicon4","LUNG","14:62759790:63366866"
"chr12",86382899,86941462,"NCIH838_LUNG_AA_amplicon11_amplicon11","LUNG","12:86382899:86941462"
"chr3",195342047,195413800,"NCIH838_LUNG_AA_amplicon2_amplicon2","LUNG","3:195342047:195413800"
"chr3",195414464,195447974,"NCIH838_LUNG_AA_amplicon2_amplicon2","LUNG","3:195414464:195447974"
"chr10",63061039,64098639,"NCIH838_LUNG_AA_amplicon6_amplicon6","LUNG","10:63061039:64098639"
"chr10",65781764,65828016,"NCIH838_LUNG_AA_amplicon6_amplicon6","LUNG","10:65781764:65828016"
"chr7",68289890,68917842,"NCIH838_LUNG_AA_amplicon6_amplicon6","LUNG","7:68289890:68917842"
"chr2",87623696,87655871,"NCIH841_LUNG_AA_amplicon8_amplicon8","LUNG","2:87623696:87655871"
"chr4",52700000,58000046,"NCIH889_LUNG_AA_amplicon11_amplicon11","LUNG","4:52700000:58000046"
"chr4",58009749,58010103,"NCIH889_LUNG_AA_amplicon11_amplicon11","LUNG","4:58009749:58010103"
"chr1",39268417,39484544,"NCIH889_LUNG_AA_amplicon2_amplicon2","LUNG","1:39268417:39484544"
"chr1",39487936,39521939,"NCIH889_LUNG_AA_amplicon2_amplicon2","LUNG","1:39487936:39521939"
"chr1",39809648,39822705,"NCIH889_LUNG_AA_amplicon2_amplicon2","LUNG","1:39809648:39822705"
"chr1",40086910,40117200,"NCIH889_LUNG_AA_amplicon2_amplicon2","LUNG","1:40086910:40117200"
"chr1",40125590,40223242,"NCIH889_LUNG_AA_amplicon2_amplicon2","LUNG","1:40125590:40223242"
"chr1",40226556,40387406,"NCIH889_LUNG_AA_amplicon2_amplicon2","LUNG","1:40226556:40387406"
"chr1",40563848,40647693,"NCIH889_LUNG_AA_amplicon2_amplicon2","LUNG","1:40563848:40647693"
"chr14",80630857,81228619,"NCIH889_LUNG_AA_amplicon9_amplicon9","LUNG","14:80630857:81228619"
"chr17",36655169,37958996,"NCIN87_STOMACH_AA_amplicon3_amplicon3","STOMACH","17:36655169:37958996"
"chr17",39432162,40113355,"NCIN87_STOMACH_AA_amplicon3_amplicon3","STOMACH","17:39432162:40113355"
"chr19",39798370,40613105,"NIHOVCAR3_OVARY_AA_amplicon13_amplicon13","OVARY","19:39798370:40613105"
"chr19",40615759,40966288,"NIHOVCAR3_OVARY_AA_amplicon13_amplicon13","OVARY","19:40615759:40966288"
"chr19",54030868,54032609,"NIHOVCAR3_OVARY_AA_amplicon13_amplicon13","OVARY","19:54030868:54032609"
"chr20",48071280,48696391,"NIHOVCAR3_OVARY_AA_amplicon15_amplicon15","OVARY","20:48071280:48696391"
"chr2",238921730,239118768,"NUGC3_STOMACH_AA_amplicon20_amplicon20","STOMACH","2:238921730:239118768"
"chr20",25840399,25846296,"OCUM1_STOMACH_AA_amplicon1_amplicon1","STOMACH","20:25840399:25846296"
"chr15",74634881,75997399,"OCUM1_STOMACH_AA_amplicon5_amplicon5","STOMACH","15:74634881:75997399"
"chr6",45069556,45234736,"OE19_OESOPHAGUS_AA_amplicon1_amplicon1","OESOPHAGUS","6:45069556:45234736"
"chr17",27265056,27299166,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:27265056:27299166"
"chr17",27352042,27396725,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:27352042:27396725"
"chr17",27404073,27444628,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:27404073:27444628"
"chr17",27450943,27484064,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:27450943:27484064"
"chr17",27541968,27560780,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:27541968:27560780"
"chr17",37826921,37920396,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:37826921:37920396"
"chr17",39759655,39823036,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:39759655:39823036"
"chr17",39845926,39883114,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:39845926:39883114"
"chr17",39883764,39893178,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:39883764:39893178"
"chr17",39907805,39991896,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:39907805:39991896"
"chr17",41387033,41389748,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:41387033:41389748"
"chr17",41389939,41390139,"OE19_OESOPHAGUS_AA_amplicon4_amplicon4","OESOPHAGUS","17:41389939:41390139"
"chr18",7639407,9815334,"OE19_OESOPHAGUS_AA_amplicon9_amplicon9","OESOPHAGUS","18:7639407:9815334"
"chr18",9816071,10222279,"OE19_OESOPHAGUS_AA_amplicon9_amplicon9","OESOPHAGUS","18:9816071:10222279"
"chr18",10223603,11509707,"OE19_OESOPHAGUS_AA_amplicon9_amplicon9","OESOPHAGUS","18:10223603:11509707"
"chr18",11511474,12230481,"OE19_OESOPHAGUS_AA_amplicon9_amplicon9","OESOPHAGUS","18:11511474:12230481"
"chr2",133078406,133114020,"ONS76_CENTRAL_NERVOUS_SYSTEM_AA_amplicon5_amplicon5","CENTRAL","2:133078406:133114020"
"chr5",683851,1178293,"OSRC2_KIDNEY_AA_amplicon4_amplicon4","KIDNEY","5:683851:1178293"
"chr5",1180726,1192337,"OSRC2_KIDNEY_AA_amplicon4_amplicon4","KIDNEY","5:1180726:1192337"
"chr5",1192970,1296339,"OSRC2_KIDNEY_AA_amplicon4_amplicon4","KIDNEY","5:1192970:1296339"
"chr20",53451218,53877280,"OSRC2_KIDNEY_AA_amplicon4_amplicon4","KIDNEY","20:53451218:53877280"
"chr18",19504279,21903371,"OV90_OVARY_AA_amplicon1_amplicon1","OVARY","18:19504279:21903371"
"chr18",21904586,21990741,"OV90_OVARY_AA_amplicon1_amplicon1","OVARY","18:21904586:21990741"
"chr18",21992047,25566894,"OV90_OVARY_AA_amplicon1_amplicon1","OVARY","18:21992047:25566894"
"chr22",20740843,20901597,"OV90_OVARY_AA_amplicon10_amplicon10","OVARY","22:20740843:20901597"
"chr7",103005168,103111788,"OVCAR4_OVARY_AA_amplicon11_amplicon11","OVARY","7:103005168:103111788"
"chr5",167783887,168144788,"OVCAR4_OVARY_AA_amplicon14_amplicon14","OVARY","5:167783887:168144788"
"chr6",18349236,18349718,"OVCAR4_OVARY_AA_amplicon7_amplicon7","OVARY","6:18349236:18349718"
"chr6",18368410,18402089,"OVCAR4_OVARY_AA_amplicon7_amplicon7","OVARY","6:18368410:18402089"
"chr6",18402867,18557037,"OVCAR4_OVARY_AA_amplicon7_amplicon7","OVARY","6:18402867:18557037"
"chr6",18573777,18574883,"OVCAR4_OVARY_AA_amplicon7_amplicon7","OVARY","6:18573777:18574883"
"chr6",18574895,18660641,"OVCAR4_OVARY_AA_amplicon7_amplicon7","OVARY","6:18574895:18660641"
"chr1",115775139,115896379,"OVCAR8_OVARY_AA_amplicon12_amplicon12","OVARY","1:115775139:115896379"
"chr1",99748928,101810260,"OVCAR8_OVARY_AA_amplicon15_amplicon15","OVARY","1:99748928:101810260"
"chr8",110402551,110492544,"OVCAR8_OVARY_AA_amplicon6_amplicon6","OVARY","8:110402551:110492544"
"chr13",94048881,94103520,"OVCAR8_OVARY_AA_amplicon9_amplicon9","OVARY","13:94048881:94103520"
"chr5",710184,843806,"OVSAHO_OVARY_AA_amplicon11_amplicon11","OVARY","5:710184:843806"
"chr17",21303089,21533278,"OVSAHO_OVARY_AA_amplicon12_amplicon12","OVARY","17:21303089:21533278"
"chr7",57656902,57712226,"OVSAHO_OVARY_AA_amplicon12_amplicon12","OVARY","7:57656902:57712226"
"chr13",79045230,79203729,"OVSAHO_OVARY_AA_amplicon14_amplicon14","OVARY","13:79045230:79203729"
"chr6",46355831,46929072,"OVSAHO_OVARY_AA_amplicon18_amplicon18","OVARY","6:46355831:46929072"
"chr20",32306587,34321780,"OVSAHO_OVARY_AA_amplicon27_amplicon27","OVARY","20:32306587:34321780"
"chr7",123571685,123881378,"OVSAHO_OVARY_AA_amplicon29_amplicon29","OVARY","7:123571685:123881378"
"chr20",60226664,60409068,"OVSAHO_OVARY_AA_amplicon36_amplicon36","OVARY","20:60226664:60409068"
"chr3",124289689,124890052,"OVSAHO_OVARY_AA_amplicon4_amplicon4","OVARY","3:124289689:124890052"
"chr3",124890819,125315936,"OVSAHO_OVARY_AA_amplicon4_amplicon4","OVARY","3:124890819:125315936"
"chr1",244059330,244669994,"OVSAHO_OVARY_AA_amplicon40_amplicon40","OVARY","1:244059330:244669994"
"chr14",105413073,105418525,"OVSAHO_OVARY_AA_amplicon6_amplicon6","OVARY","14:105413073:105418525"
"chr17",73931413,74360789,"OVSAHO_OVARY_AA_amplicon9_amplicon9","OVARY","17:73931413:74360789"
"chr17",76283412,76417863,"OVSAHO_OVARY_AA_amplicon9_amplicon9","OVARY","17:76283412:76417863"
"chr19",38991188,40849727,"PANC1_PANCREAS_AA_amplicon4_amplicon4","PANCREAS","19:38991188:40849727"
"chr16",33331669,33428529,"PANC1005_PANCREAS_AA_amplicon8_amplicon8","PANCREAS","16:33331669:33428529"
"chr6",296060,382460,"PANC1005_PANCREAS_AA_amplicon8_amplicon8","PANCREAS","6:296060:382460"
"chr18",20345367,20706633,"PATU8988T_PANCREAS_AA_amplicon5_amplicon5","PANCREAS","18:20345367:20706633"
"chr2",222187389,222351197,"PC14_LUNG_AA_amplicon20_amplicon20","LUNG","2:222187389:222351197"
"chr10",67960761,68759797,"PC3_PROSTATE_AA_amplicon5_amplicon5","PROSTATE","10:67960761:68759797"
"chr10",70787391,72448739,"PC3_PROSTATE_AA_amplicon5_amplicon5","PROSTATE","10:70787391:72448739"
